Desplazamiento Bala, Velocidad Bala, Estatus Aire, Estatus Suelo
-650,-461,0,1
-650,-461,0,1
-635,-461,0,1
-620,-461,0,1
-604,-461,0,1
-589,-461,0,1
-574,-461,0,1
-558,-461,0,1
-543,-461,0,1
-528,-461,0,1
-512,-461,0,1
-497,-461,0,1
-481,-461,0,1
-466,-461,0,1
-451,-461,0,1
-435,-461,0,1
-420,-461,0,1
-405,-461,0,1
-389,-461,0,1
-374,-461,0,1
-359,-461,0,1
-343,-461,0,1
-328,-461,0,1
-312,-461,0,1
-297,-461,0,1
-282,-461,0,1
-266,-461,0,1
-251,-461,0,1
-236,-461,0,1
-220,-461,0,1
-205,-461,0,1
-189,-461,0,1
-174,-461,0,1
-159,-461,0,1
-143,-461,0,1
-128,-461,0,1
-113,-461,0,1
-97,-461,0,1
-82,-461,0,1
-67,-461,0,1
-51,-461,0,1
-36,-461,0,1
-650,-419,0,1
-650,-419,0,1
-637,-419,0,1
-623,-419,0,1
-609,-419,0,1
-595,-419,0,1
-581,-419,0,1
-567,-419,0,1
-553,-419,0,1
-539,-419,0,1
-525,-419,0,1
-511,-419,0,1
-497,-419,0,1
-483,-419,0,1
-469,-419,0,1
-455,-419,0,1
-441,-419,0,1
-427,-419,0,1
-413,-419,0,1
-399,-419,0,1
-385,-419,0,1
-371,-419,0,1
-357,-419,0,1
-343,-419,0,1
-329,-419,0,1
-315,-419,0,1
-301,-419,0,1
-287,-419,0,1
-273,-419,0,1
-259,-419,0,1
-245,-419,0,1
-232,-419,0,1
-218,-419,0,1
-204,-419,0,1
-190,-419,0,1
-176,-419,0,1
-162,-419,0,1
-148,-419,0,1
-134,-419,0,1
-120,-419,1,0
-106,-419,1,0
-92,-419,1,0
-78,-419,1,0
-64,-419,1,0
-50,-419,1,0
-36,-419,1,0
-22,-419,1,0
-8,-419,1,0
6,-419,1,0
20,-419,1,0
34,-419,1,0
48,-419,1,0
50,-419,1,0
-650,-448,1,0
-650,-448,1,0
-636,-448,1,0
-621,-448,1,0
-606,-448,1,0
-591,-448,1,0
-576,-448,1,0
-561,-448,1,0
-546,-448,0,1
-531,-448,0,1
-516,-448,0,1
-501,-448,0,1
-486,-448,0,1
-471,-448,0,1
-456,-448,0,1
-441,-448,0,1
-427,-448,0,1
-412,-448,0,1
-397,-448,0,1
-382,-448,0,1
-367,-448,0,1
-352,-448,0,1
-337,-448,0,1
-322,-448,0,1
-307,-448,0,1
-292,-448,0,1
-277,-448,0,1
-262,-448,0,1
-247,-448,0,1
-232,-448,0,1
-217,-448,0,1
-203,-448,0,1
-188,-448,0,1
-173,-448,0,1
-158,-448,0,1
-143,-448,0,1
-128,-448,0,1
-113,-448,1,0
-98,-448,1,0
-83,-448,1,0
-68,-448,1,0
-53,-448,1,0
-38,-448,1,0
-23,-448,1,0
-8,-448,1,0
7,-448,1,0
21,-448,1,0
36,-448,1,0
50,-448,1,0
-650,-763,1,0
-650,-763,1,0
-625,-763,1,0
-600,-763,1,0
-574,-763,1,0
-549,-763,1,0
-523,-763,1,0
-498,-763,1,0
-472,-763,0,1
-447,-763,0,1
-422,-763,0,1
-396,-763,0,1
-371,-763,0,1
-345,-763,0,1
-320,-763,0,1
-294,-763,0,1
-269,-763,0,1
-244,-763,0,1
-218,-763,0,1
-193,-763,0,1
-167,-763,0,1
-142,-763,0,1
-116,-763,1,0
-91,-763,1,0
-66,-763,1,0
-40,-763,1,0
-15,-763,1,0
11,-763,1,0
36,-763,1,0
50,-763,1,0
-650,-300,1,0
-650,-300,1,0
-640,-300,1,0
-630,-300,1,0
-620,-300,1,0
-610,-300,1,0
-600,-300,1,0
-590,-300,1,0
-580,-300,1,0
-570,-300,0,1
-560,-300,0,1
-550,-300,0,1
-540,-300,0,1
-530,-300,0,1
-520,-300,0,1
-510,-300,0,1
-500,-300,0,1
-490,-300,0,1
-480,-300,0,1
-470,-300,0,1
-460,-300,0,1
-450,-300,0,1
-440,-300,0,1
-430,-300,0,1
-420,-300,0,1
-410,-300,0,1
-400,-300,0,1
-390,-300,0,1
-380,-300,0,1
-370,-300,0,1
-360,-300,0,1
-350,-300,0,1
-340,-300,0,1
-330,-300,0,1
-320,-300,0,1
-310,-300,0,1
-300,-300,0,1
-290,-300,0,1
-280,-300,0,1
-270,-300,0,1
-260,-300,0,1
-250,-300,0,1
-240,-300,0,1
-230,-300,0,1
-220,-300,0,1
-210,-300,0,1
-200,-300,0,1
-190,-300,0,1
-180,-300,0,1
-170,-300,0,1
-160,-300,0,1
-150,-300,0,1
-140,-300,0,1
-130,-300,0,1
-120,-300,0,1
-110,-300,0,1
-100,-300,1,0
-90,-300,1,0
-80,-300,1,0
-70,-300,1,0
-60,-300,1,0
-50,-300,1,0
-40,-300,1,0
-30,-300,1,0
-20,-300,1,0
-10,-300,1,0
0,-300,1,0
10,-300,1,0
20,-300,1,0
30,-300,1,0
40,-300,1,0
50,-300,1,0
-650,-679,1,0
-650,-679,1,0
-628,-679,1,0
-605,-679,1,0
-583,-679,1,0
-560,-679,1,0
-537,-679,0,1
-515,-679,0,1
-492,-679,0,1
-469,-679,0,1
-447,-679,0,1
-424,-679,0,1
-402,-679,0,1
-379,-679,0,1
-356,-679,0,1
-334,-679,0,1
-311,-679,0,1
-288,-679,0,1
-266,-679,0,1
-243,-679,1,0
-220,-679,1,0
-198,-679,1,0
-175,-679,1,0
-153,-679,1,0
-130,-679,1,0
-107,-679,1,0
-85,-679,1,0
-62,-679,1,0
-39,-679,1,0
-17,-679,1,0
6,-679,1,0
28,-679,1,0
50,-679,1,0
-650,-733,1,0
-650,-733,1,0
-626,-733,1,0
-602,-733,1,0
-577,-733,1,0
-553,-733,1,0
-528,-733,1,0
-504,-733,1,0
-479,-733,0,1
-455,-733,0,1
-431,-733,0,1
-406,-733,0,1
-382,-733,0,1
-357,-733,0,1
-333,-733,0,1
-308,-733,0,1
-284,-733,0,1
-260,-733,1,0
-235,-733,1,0
-211,-733,1,0
-186,-733,1,0
-162,-733,1,0
-137,-733,1,0
-113,-733,1,0
-89,-733,1,0
-64,-733,1,0
-40,-733,1,0
-15,-733,1,0
9,-733,1,0
34,-733,1,0
50,-733,1,0
-650,-710,1,0
-650,-710,1,0
-627,-710,1,0
-603,-710,1,0
-580,-710,1,0
-556,-710,1,0
-532,-710,1,0
-509,-710,1,0
-485,-710,0,1
-461,-710,0,1
-438,-710,0,1
-414,-710,0,1
-390,-710,0,1
-367,-710,0,1
-343,-710,0,1
-319,-710,0,1
-296,-710,0,1
-272,-710,0,1
-248,-710,0,1
-225,-710,0,1
-201,-710,0,1
-177,-710,0,1
-154,-710,0,1
-130,-710,0,1
-106,-710,0,1
-83,-710,0,1
-59,-710,0,1
-35,-710,0,1